transaction_id,date,dealer_id,car_id,sale_price,margin,channel
1,2023-05-08 19:33:51,1,3,38545.79212914968,3493.7921291496823,direct
2,2025-03-16 22:14:02,1,4,34178.95565308133,5589.955653081328,auction
3,2025-12-12 11:25:36,1,7,23008.612558308876,3073.612558308876,wholesale
4,2025-02-28 16:57:51,1,8,42115.942547519095,6255.942547519095,auction
5,2024-08-09 13:44:30,1,10,34465.098407219266,3365.098407219266,wholesale
6,2025-08-13 05:11:31,1,12,29652.25740008216,3714.2574000821587,direct
7,2025-10-31 07:10:48,1,13,17254.99962093558,2883.9996209355813,auction
8,2025-10-02 05:38:36,1,14,15940.209098307012,2719.209098307012,wholesale
9,2024-04-12 18:37:52,1,17,20801.635424191085,3438.635424191085,direct
10,2023-03-17 22:56:23,1,18,15695.013191741928,2124.0131917419276,wholesale
11,2023-07-07 19:27:55,1,21,56687.71391259442,6907.713912594423,auction
12,2024-03-02 11:10:12,1,23,26016.177431528427,4307.177431528427,wholesale
13,2025-03-13 02:48:06,1,25,35651.22939605955,4087.229396059549,direct
14,2025-04-08 01:34:34,1,28,23569.14803444489,3488.14803444489,direct
15,2024-10-13 12:02:00,1,29,23915.855156864593,2186.8551568645926,auction
16,2023-05-01 12:34:18,1,31,48759.24168441368,4444.241684413682,auction
17,2025-03-25 10:52:52,1,33,30026.584006731766,4722.584006731766,wholesale
18,2024-05-23 05:57:14,1,34,38997.48481003361,4548.484810033609,direct
19,2024-08-08 09:20:52,1,35,47477.70757000725,7210.707570007253,wholesale
20,2024-09-18 21:24:51,1,37,29742.89028245775,4596.890282457749,wholesale
21,2025-05-15 18:00:52,1,38,49762.50472080621,4354.50472080621,auction
22,2023-06-18 21:48:23,1,39,48646.25679241743,4575.256792417429,auction
23,2024-10-09 06:34:17,1,40,57300.18584168379,8225.185841683793,direct
24,2024-10-16 21:27:11,1,41,42075.75973196844,4331.759731968443,direct
25,2024-02-16 10:01:08,1,42,51801.64900232332,6550.64900232332,auction
26,2024-02-04 08:01:04,1,43,27733.371994654826,4501.371994654826,direct
27,2025-12-09 05:14:22,1,44,27164.757876952644,3935.7578769526444,auction
28,2024-05-20 04:30:49,1,48,53188.85793452154,4578.85793452154,direct
29,2024-08-08 13:34:55,1,51,14335.721123897109,2434.7211238971086,direct
30,2024-10-21 05:06:22,1,53,15778.209797983152,1395.2097979831524,auction
31,2023-11-10 20:50:51,1,54,30336.171475697003,2590.171475697003,wholesale
32,2024-10-19 03:30:37,1,55,31859.2499843091,3782.249984309099,auction
33,2025-03-15 16:24:23,1,56,25064.682724669234,2386.6827246692337,wholesale
34,2025-12-16 20:31:21,1,59,52307.34483126881,7631.344831268812,direct
35,2024-11-12 11:54:14,1,60,52008.87342866449,6028.87342866449,direct
36,2025-04-26 17:14:35,1,62,50972.535694626094,7914.5356946260945,wholesale
37,2025-04-19 00:45:24,1,64,28669.092832575596,2587.092832575596,wholesale
38,2023-09-22 19:34:45,1,65,45003.821091306745,5991.821091306745,wholesale
39,2024-04-26 15:53:19,1,66,32620.240039929296,4800.2400399292965,direct
40,2023-05-21 02:30:21,1,67,35369.41985707473,3316.419857074732,direct
41,2025-10-19 08:30:52,1,68,23389.833443997148,2293.8334439971477,auction
42,2025-10-01 23:52:11,1,69,26165.30618058524,4187.306180585241,auction
43,2024-04-03 06:00:35,1,71,14040.072937204308,1315.072937204308,auction
44,2024-02-24 11:06:09,1,74,34741.51439474475,4111.5143947447505,wholesale
45,2024-07-31 10:51:40,1,76,48489.48421097456,6942.484210974559,direct
46,2025-06-23 23:02:03,1,78,56576.42308566895,6942.423085668946,auction
47,2023-08-27 23:26:13,1,79,27570.35087621572,3107.3508762157217,direct
